ref_id,tax_id,source_name,addnl_id,seq_type,source_reference,source_link,source_filename
111,2762,Cyanophora paradoxa CCMP329,,aa,"Price DC et al., 2019",,
112,29204,Cyclotella cryptica CCMP322,,aa,"Traller JC et al., 2016",,
113,3046,Dunaliella salina CCAP19/18,,aa,"Polle JEW et al., 2017",,
114,2880,Ectocarpus siliculosus Ec 32,,aa,"Cock JM et al., 2010",,
115,47281,Edaphochlamys debaryana CCAP 11/70,,aa,"Craig RJ et al., 2021",,
116,280463,Emiliania huxleyi CCMP1516 v1.0,,aa,"Read BA et al., 2013",,
117,113528,Enallax costatus CCAP 276/31 v1.0,,aa,"Cardon et al., 2018",,
118,1519565,Fistulifera solaris JPCC DA0580,,aa,"Tanaka T et al., 2015",,
119,269715,Flechtneria rotunda SEV3-VF49 v1.0,,aa,"Cardon et al., 2018",,
120,635003,Fragilariopsis cylindrus CCMP 1102,,aa,"Mock T et al., 2017",,
121,2697096,Fugacium kawagutii CCMP2468,,aa,"Lin S et al., 2015",,
122,1389228,Galdieria phelgrea Soos,,aa,"Rossoni AW et al., 2019",,
123,130081,Galdieria sulphuraria 002,,aa,"Rossoni AW et al., 2019",,
124,184922,Giardia intestinalis ATCC 50803,,aa,"Morrison HG et al., 2007",,
125,33097,Gonium pectorale NIES-2863,,aa,"Hanschen ER et al., 2016",,
126,448386,Gracilariopsis chorda isolate SKKU-2015,,aa,"Lee J et al., 2018",,
127,905079,Guillardia theta CCMP2712,,aa,"Curtis BA et al., 2012",,
128,559515,Hyaloperonospora arabidopsidis Emoy2 v2.0,,aa,"Baxter L et al., 2010",,
129,105231,Klebsormidium nitens NIES-2285,,aa,"Hori K et al., 2014",,
130,41882,Mesostigma viride CCAC 1140,,aa,"Wang S et al., 2020",,
131,184485,Mesotaenium endlicherianum SAG 12.97,,aa,"Cheng S et al., 2019",,
132,554055,Micractinium conductrix SAG 241.80,,aa,"Arriola MB et al., 2018",,
133,296587,Micromonas commoda NOUM17 (RCC 299),,aa,"Worden AZ et al., 2009",,
134,564608,Micromonas pusilla CCMP1545,,aa,"Worden AZ et al., 2009",,
135,659878,Minidiscus variabilis CCMP495 v1.0,,aa,hold-unpublished,,
136,145388,Monoraphidium neglectum SAG 48.87,,aa,"Bogen C et al., 2013",,
137,5762,Naegleria gruberi v1.0,,aa,"Fritz-Laylin LK et al., 2010",,
138,72520,Nannochloropsis gaditana B-31,,aa,"Corteggiani Carpinelli E et al., 2014",,
139,1149776,Nannochloropsis oceanica CCMP1779 v2.0,,aa,hold-unpublished,,
140,1027361,Nannochloropsis salina CCMP1776,,aa,"Ohan JA et al., 2019",,
141,2185085,Nemacystus decipiens Onna-1,,aa,"Nishitsuji K et al., 2019",,
142,303405,Nitzschia hildebrandi GAI-293,GAI-293,aa,"Oliver A et al., 2021",https://mycocosm.jgi.doe.gov/Nithil2/Nithil2.home.html,
143,483371,Ochromonadaceae sp. CCMP2298 v1.0,,aa,hold-unpublished,,
144,420556,Ochromonas sp. CCMP1393 v1.4,,aa,hold-unpublished,,
145,385169,Ostreococcus sp. RCC809,,aa,hold-unpublished,,
146,70448,Ostreococcus tauri RCC1115 v1.0,,aa,"Blanc-Mathieu R et al., 2017",,
147,70448,Ostreococcus tauri RCC4221 v3.0,,aa,"Blanc-Mathieu R et al., 2014",,
148,1172189,Oxytricha trifallax JRB310,,aa,"Swart EC et al., 2013",,
149,412030,Paramecium tetraurelia d4_2,,aa,"Aury JM et al., 2006",,
150,37642,Paraphysomonas imperforata CCMP1604 v1.4,,aa,hold-unpublished,,
151,483367,Pavlovales sp. CCMP2436 v1.0,,aa,unpublished-Lovejoy,,
152,483370,Pelagophyceae sp. CCMP2097 v1.0,,aa,hold-unpublished,,
153,33657,Phaeocystis antarctica CCMP1374 v2.2,,aa,hold-unpublished,,
154,33658,Phaeocystis globosa Pg-G v2.3,,aa,hold-unpublished,,
155,556484,Phaeodactylum tricornutum CCAP 1055/1 v2.0,,aa,"Bowler C et al., 2008",,
156,763924,Phytophthora capsici LT1534 v11.0,,aa,"Lamour KH et al., 2012",,
157,622258,Phytophthora cinnamomi var cinnamomi v1.0,,aa,hold-unpublished,,
158,403677,Phytophthora infestans T30-4,,aa,"Haas BJ et al., 2009",,
159,67593,Phytophthora sojae v3.0,,aa,"Tyler BM et al., 2006",,
160,2601844,Picochlorum renovo,,aa,"Dahlin LR et al., 2019",,
161,2053932,Picochlorum soloecismus DOE101,,aa,"Gonzalez-Esquer CR et al., 2018",,
162,2320818,Picocystis sp. ML,,aa,"Junkins EN et al., 2019",,
163,36329,Plasmodium falciparum 3D7,,aa,"Gardner MJ et al., 2002",,
164,2786,Porphyra umbilicalis isolate 4086291,,aa,"Brawley SH et al., 2017",,
165,156133,Prasinoderma coloniale CCMP1413,,aa,"Li L et al., 2020",,
166,635002,Pseudo-nitzschia multiseries CLN-47,,aa,hold-unpublished,,
167,2788,Pyropia yezoensis U-51,,aa,"Nakamura Y et al., 2013",,
168,307507,Raphidocelis subcapitata NIES-35,,aa,"Suzuki S et al., 2018",,
169,46433,Reticulomyxa filosa,,aa,"Glöckner G et al., 2014",,
170,88149,Saccharina japonica str. Ja,,aa,"Ye N et al., 2015",,
171,695850,Saprolegnia parasitica CBS 223.65,,aa,"Jiang RH et al., 2013",,
172,3088,Scenedesmus obliquus EN0004 v1.0,,aa,hold-unpublished,,
173,3088,Scenedesmus obliquus UTEX 393,,aa,"Carreres BM et al., 2017",,
174,3088,Scenedesmus obliquus UTEX B 3031,,aa,"Starkenburg SR et al., 2017",,
175,2650976,Scenedesmus sp. NREL 46B-D3 v1.0,,aa,"Calhoun S et al., 2021",,
176,876976,Schizochytrium aggregatum ATCC 28209,,aa,hold-unpublished,,
177,568900,Seminavis robusta D6,,aa,"Osuna-Cruz CM et al., 2020",,
178,40981,Symbiochloris reticulata Spain reference genome v1.0,,aa,hold-unpublished,,
179,2951,Symbiodinium microadriaticum CCMP2467,,aa,"Aranda M et al., 2016",,
180,47790,Tetrabaena socialis NIES-571,,aa,"Featherston J et al., 2018",,
181,312017,Tetrahymena thermophila SB210,,aa,"Eisen JA et al., 2006",,
182,637379,Thalassiosira oceanica CCMP1005,,aa,"Lommer M et al., 2012",,
183,296543,Thalassiosira pseudonana CCMP 1335,,aa,"Armbrust EV et al., 2004",,
184,508771,Toxoplasma gondii ME49,,aa,"Kissinger JC et al., 2003",,
185,2608996,Trebouxia sp. A1-2,,aa,"Greshake Tzovaras B et al., 2020",,
186,303371,Tribonema minus UTEX B ZZ1240 v1.0,,aa,"Mahan KM et al., 2021",,
187,412133,Trichomonas vaginalis G3,,aa,"Carlton JM et al., 2007",,
188,185431,Trypanosoma brucei brucei TREU927,,aa,"Berriman M et al., 2005",,
189,498180,Ulva mutabilis Føyn,,aa,"De Clerck O et al., 2018",,
190,74381,Undaria pinnatifida M23,,aa,"Shan T et al., 2020",,
191,1169540,Vitrella brassicaformis CCMP3155,,aa,"Woo YH et al., 2015",,
192,3067,Volvox carteri v2.1,,aa,"Prochnik SE et al., 2010",,
193,947086,Cephaloidophora cf. communis,,nt,Janouskovec 2019,https://www.ncbi.nlm.nih.gov/nuccore/GHVH00000000.1,
194,361139,Acytostelium subglobosum,,nt,Urushihara 2015,https://www.ncbi.nlm.nih.gov/biosample/SAMN02905743,
195,76773,Malassezia globosa,,nt,"Xu,J. 2007",https://www.ncbi.nlm.nih.gov/biosample/SAMN01758921,
196,2802065,Chrysochromulina sp KB-HA01,,aa,Lambert 2021,,
197,2802064,Chrysochromulina sp AL-TEMP,,aa,Lambert 2021,,
198,49240,ATCH2 – Chaetoceros sp.,,aa,,,
199,1804765,Pn B2 – Pseudo-nitzschia sp.,,aa,,,
200,29159,Crassostrea gigas,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_902806645.1/,
201,37653,Octopus bimaculoides,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_001194135.1/,
202,6500,Aplysia californica,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000002075.1/,
203,35525,Daphnia magna,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_020631705.1/,
204,6706,Homarus americanus,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_018991925.1/,
205,34765,Oikopleura dioica,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_000209535.1/,
206,195615,Hippoglossus stenolepis,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_022539355.2/,
207,9739,Tursiops truncatus,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_011762595.1/,
208,60516,Dibothriocephalus latus,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_900617775.1/,
209,6198,Opisthorchis viverrini,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000715545.1/,
210,283909,Capitella teleta,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_000328365.1/,
211,6412,Helobdella robusta,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000326865.1/,
212,6269,Anisakis simplex,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_900617985.1/,
213,36087,Trichuris trichiura,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_000613005.1/,
214,6087,Hydra vulgaris,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_022113875.1/,
215,45351,Nematostella vectensis,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000209225.1/,
216,307972,Apostichopus japonicus,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_002754855.1/,
217,7668,Strongylocentrotus purpuratus,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000002235.5/,
218,10212,Bugula neritina,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_010799875.2/,
219,400682,Amphimedon queenslandica,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_000090795.1/,
220,7574,Lingula anatina,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_001039355.2/,
221,249248,Adineta ricciae,,aa,,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCA_905250025.1/,
222,2081491,Diacronema lutheri,,aa,"Hulatt et al., 2021",https://www.ncbi.nlm.nih.gov/nuccore/PRJNA725470,
223,2713251,Abedinium folium,,nt,"Cooney et al., 2020",https://datadryad.org/stash/dataset/doi:10.5061/dryad.pg4f4qrk0,
224,763927,Abedinium dasypus,,nt,"Cooney et al., 2020",https://datadryad.org/stash/dataset/doi:10.5061/dryad.pg4f4qrk0,
225,2792,"Porphyridium aerugineum, Strain SAG 1380-2",MMETSP0313,aa,"Keeling et al., 2014",,
226,2081491,"Pavlova lutheri, Strain RCC1537",MMETSP1463,aa,"Keeling et al., 2014",,
227,265563,Odontella aurita isolate 1302-5,MMETSP0015,aa,"Keeling et al., 2014",,
228,1514140,"Odontella Sinensis, Strain Grunow 1884",MMETSP0160,aa,"Keeling et al., 2014",,
229,2843,Skeletonema costatum RA080513-05,MMETSP0013,aa,"Keeling et al., 2014",,
230,2856,Cylindrotheca closterium KMMCC:B-181,MMETSP0017,aa,"Keeling et al., 2014",,
231,1606575,Nitszchia sp. ROS97004,MMETSP0014,aa,"Keeling et al., 2014",,
232,2866,"Crypthecodinium cohnii, Strain Seligo",MMETSP0323,aa,"Keeling et al., 2014",,
233,2866,"Crypthecodinium cohnii, Strain Seligo",MMETSP0324,aa,"Keeling et al., 2014",,
234,2866,"Crypthecodinium cohnii, Strain Seligo",MMETSP0325,aa,"Keeling et al., 2014",,
235,2866,"Crypthecodinium cohnii, Strain Seligo",MMETSP0326,aa,"Keeling et al., 2014",,
236,2898,Cryptomonas paramecium CCAP977/2a,MMETSP0038,aa,"Keeling et al., 2014",,
237,2903,"Emiliania huxleyi, Strain 379",MMETSP0994,aa,"Keeling et al., 2014",,
238,2903,"Emiliania huxleyi, Strain 379",MMETSP0995,aa,"Keeling et al., 2014",,
239,2903,"Emiliania huxleyi, Strain 379",MMETSP0996,aa,"Keeling et al., 2014",,
240,2903,"Emiliania huxleyi, Strain 379",MMETSP0997,aa,"Keeling et al., 2014",,
241,2903,"Emiliania huxleyi, Strain 374",MMETSP1006,aa,"Keeling et al., 2014",,
242,2903,"Emiliania huxleyi, Strain 374",MMETSP1007,aa,"Keeling et al., 2014",,
243,2903,"Emiliania huxleyi, Strain 374",MMETSP1008,aa,"Keeling et al., 2014",,
244,2903,"Emiliania huxleyi, Strain 374",MMETSP1009,aa,"Keeling et al., 2014",,
245,2903,"Emiliania huxleyi, Strain PLY M219",MMETSP1150,aa,"Keeling et al., 2014",,
246,2903,"Emiliania huxleyi, Strain PLY M219",MMETSP1151,aa,"Keeling et al., 2014",,
247,2903,"Emiliania huxleyi, Strain PLY M219",MMETSP1152,aa,"Keeling et al., 2014",,
248,2903,"Emiliania huxleyi, Strain PLY M219",MMETSP1153,aa,"Keeling et al., 2014",,
249,2903,"Emiliania huxleyi, Strain CCMP370",MMETSP1154,aa,"Keeling et al., 2014",,
250,2903,"Emiliania huxleyi, Strain CCMP370",MMETSP1155,aa,"Keeling et al., 2014",,
251,2903,"Emiliania huxleyi, Strain CCMP370",MMETSP1156,aa,"Keeling et al., 2014",,
252,2903,"Emiliania huxleyi, Strain CCMP370",MMETSP1157,aa,"Keeling et al., 2014",,
253,2916,"Ceratium fusus, Strain PA161109",MMETSP1074,aa,"Keeling et al., 2014",,
254,2916,"Ceratium fusus, Strain PA161109",MMETSP1075,aa,"Keeling et al., 2014",,
255,2923,"Thoracosphaera heimii, Strain CCCM 670 (=CCMP 1069)",MMETSP0225,aa,"Keeling et al., 2014",,
256,2925,"Alexandrium catenella, Strain OF101",MMETSP0790,aa,"Keeling et al., 2014",,
257,2926,Alexandrium tamarense CCMP1771,MMETSP0378,aa,"Keeling et al., 2014",,
258,2926,Alexandrium tamarense CCMP1771,MMETSP0382,aa,"Keeling et al., 2014",,
259,2926,Alexandrium tamarense CCMP1771,MMETSP0384,aa,"Keeling et al., 2014",,
260,2932,"Alexandrium fundyense, Strain CCMP1719",MMETSP0196,aa,"Keeling et al., 2014",,
261,2932,"Alexandrium fundyense, Strain CCMP1719",MMETSP0347,aa,"Keeling et al., 2014",,
