candidate_id,accepted,ref_id,marferret_name,tax_id,NCBI_tax_name,original_taxID,source_name,alias,data_source,source_filename,source_reference,source_link,ref_link,ref_doi,n_seqs_raw,status,taxID_notes,FLAG,HCLUST_FLAG,FLAG_Lasek-Nesselquist,FLAG_VanVlierberghe
11,Y,581,Stramenopiles_sp_TOSAG41-2,1735746,Stramenopiles sp. TOSAG41-2,NA,Stramenopiles sp. TOSAG41-2,Stramenopiles sp. TOSAG41-2,TARA,m3a.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,3289,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
12,Y,582,Stramenopiles_sp_TOSAG23-6,1735747,Stramenopiles sp. TOSAG23-6,NA,Stramenopiles sp. TOSAG23-6,Stramenopiles sp. TOSAG23-6,TARA,m3f.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,2694,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
13,Y,583,Stramenopiles_sp_TOSAG23-1,1735742,Stramenopiles sp. TOSAG23-1,NA,Stramenopiles sp. TOSAG23-1,Stramenopiles sp. TOSAG23-1,TARA,m4a1.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,8018,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
14,Y,584,Stramenopiles_sp_TOSAG23-2,1735743,Stramenopiles sp. TOSAG23-2,NA,Stramenopiles sp. TOSAG23-2,Stramenopiles sp. TOSAG23-2,TARA,m4a2.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,8537,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
15,Y,585,Stramenopiles_sp_TOSAG41-1,1735744,Stramenopiles sp. TOSAG41-1,NA,Stramenopiles sp. TOSAG41-1,Stramenopiles sp. TOSAG41-1,TARA,m4c.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,5478,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
16,Y,586,Stramenopiles_sp_TOSAG23-3,1735745,Stramenopiles sp. TOSAG23-3,NA,Stramenopiles sp. TOSAG23-3,Stramenopiles sp. TOSAG23-3,TARA,m4e.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,4652,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
17,Y,587,Chrysophyceae_sp_TOSAG23-4,1735748,Chrysophyceae sp. TOSAG23-4,NA,Chrysophyceae sp. TOSAG23-4,Chrysophyceae sp. TOSAG23-4,TARA,chryh1.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,3050,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
18,Y,588,Chrysophyceae_sp_TOSAG23-5,1735749,Chrysophyceae sp. TOSAG23-5,NA,Chrysophyceae sp. TOSAG23-5,Chrysophyceae sp. TOSAG23-5,TARA,chryh2.faa,"Seeleuthner et al., 2018",http://www.genoscope.cns.fr/tara/,https://pubmed.ncbi.nlm.nih.gov/29358710/,NA,1637,Assigned,manually assigned to NCBI taxID,NA,NA,NA,NA
19,Y,589,Calanus_finmarchicus,6837,Calanus finmarchicus,6837,Calanus finmarchicus,PRJNA236528,NCBI,Calanus_finmarchicus.PRJNA236528.fa.fasta,"Roncalli et al., 2015",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA236528,https://pubmed.ncbi.nlm.nih.gov/25945801,https://doi.org/10.1093/nar/gky989,206012,Unchanged,from NCBI record,NA,NA,NA,NA
20,Y,590,Calanus_glacialis,113644,Calanus glacialis,113644,Calanus glacialis,PRJNA237014,NCBI,Calanus_glacialis.PRJNA237014.fasta,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237014,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,36880,Unchanged,from NCBI record,NA,NA,NA,NA
21,Y,591,Neocalanus_flemingeri,119369,Neocalanus flemingeri,119369,Neocalanus flemingeri,GFUD00000000,NCBI,GFUD01.1.fsa_nt.fasta,"Roncalli et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFUD00000000/,https://pubmed.ncbi.nlm.nih.gov/28919018,https://doi.org/10.1093/nar/gky989,140535,Unchanged,from NCBI record,NA,NA,NA,NA
22,Y,592,Acartia_tonsa,136180,Acartia tonsa,136180,Acartia tonsa,GFWY00000000,NCBI,GFWY01.1.fsa_nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFWY00000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,60662,Unchanged,from NCBI record,NA,NA,NA,NA
23,Y,593,Eurytemora_affinis,88015,Eurytemora affinis,88015,Eurytemora affinis,GEAN00000000,NCBI,GEAN01.1.fsa_nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GEAN00000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,107445,Unchanged,from NCBI record,NA,NA,NA,NA
24,Y,594,Labidocera_madurae,1501138,Labidocera madurae,1501138,Labidocera madurae,GFWO00000000,NCBI,GFWO01.1.fsa_nt,"Roncalli et al., 2017",https://www.ncbi.nlm.nih.gov/nuccore/GFWO00000000/,https://pubmed.ncbi.nlm.nih.gov/29065152,https://doi.org/10.1093/nar/gky989,210768,Unchanged,from NCBI record,NA,NA,NA,NA
25,Y,595,Tigriopus_californicus,6832,Tigriopus californicus,6832,Tigriopus californicus,GBSZ00000000,NCBI,GBSZ01.1.fsa_nt,"Barreto et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GBSZ00000000/,https://pubmed.ncbi.nlm.nih.gov/25415967/,https://doi.org/10.1093/nar/gky989,12067,Unchanged,from NCBI record,NA,NA,NA,NA
26,Y,596,Tigriopus_kingsejongensis,1133412,Tigriopus kingsejongensis,1133412,Tigriopus kingsejongensis,GDFW01000000,NCBI,GDFW01.1.fsa_nt,"Lee et al., 2016",https://www.ncbi.nlm.nih.gov/nuccore/GDFW01000000/,https://pubmed.ncbi.nlm.nih.gov/27157881/,https://doi.org/10.1093/nar/gky989,38250,Unchanged,from NCBI record,NA,NA,NA,NA
27,Y,597,Tigriopus_japonicus,158387,Tigriopus japonicus,158387,Tigriopus japonicus,GCHA00000000,NCBI,GCHA01.1.fsa_nt,"Kim et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCHA00000000/,https://pubmed.ncbi.nlm.nih.gov/26024611,https://doi.org/10.1093/nar/gky989,54758,Unchanged,from NCBI record,NA,NA,NA,NA
28,Y,598,Paracyclopina_nana,565004,Paracyclopina nana,565004,Paracyclopina nana,GCJT01000000,NCBI,GCJT01.1.fsa_nt,"Lee et al., 2015",https://www.ncbi.nlm.nih.gov/nuccore/GCJT01000000/,https://pubmed.ncbi.nlm.nih.gov/26001055,https://doi.org/10.1093/nar/gky989,60687,Unchanged,from NCBI record,NA,NA,NA,NA
29,Y,599,Eucyclops_serrulatus,84317,Eucyclops serrulatus,84317,Eucyclops serrulatus,GARW01000000,NCBI,GARW01.1.fsa_nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GARW01000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,51528,Unchanged,from NCBI record,NA,NA,NA,NA
30,Y,600,Lepeophtheirus_salmonis,72036,Lepeophtheirus salmonis,72036,Lepeophtheirus salmonis,HACA00000000,NCBI,HACA01P.1.fsa_aa,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/HACA00000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,33918,Unchanged,from NCBI record,NA,NA,NA,NA
31,Y,601,Caligus_rogercresseyi,217165,Caligus rogercresseyi,217165,Caligus rogercresseyi,GAZX00000000,NCBI,GAZX01.1.fsa_nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GAZX00000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,44088,Unchanged,from NCBI record,NA,NA,NA,NA
32,Y,602,Pleuromamma_xiphias,503034,Pleuromamma xiphias,503034,Pleuromamma xiphias,GFCI00000000,NCBI,GFCI01.1.fsa_nt,"Maas et al., 2018",https://www.ncbi.nlm.nih.gov/nuccore/GFCI00000000/,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,554991,Unchanged,from NCBI record,NA,NA,NA,NA
33,Y,603,Nitzschia_sp_Nitz4,2041349,Nitzschia sp. Nitz4,2041349,Nitzschia sp. strain Nitz4,GIQR00000000,NCBI,GIQR01.1.fsa_nt,"Pendergrass et al., 2021",https://www.ncbi.nlm.nih.gov/nuccore/GIQR00000000/,https://pubmed.ncbi.nlm.nih.gov/34379807/,https://doi.org/10.1093/nar/gky989,24322,Unchanged,from NCBI record,NA,NA,NA,NA
34,N,NA,Phaeocystis_globosa,33658,Phaeocystis globosa,33658,Phaeocystis globosa CCMP1528,NA,Zenodo,phaeocystisglobosa_euk_seqs.fasta,Brisbin and Mitarai 2018,https://zenodo.org/record/1476491,https://pubmed.ncbi.nlm.nih.gov/30860641/,10.5281/zenodo.1476491,69528,Unchanged,from NCBI record,FLAG,unexpected placement,NA,NA
35,Y,604,Ankylochrysis_sp_RCC2491,1764641,Pelagophyceae sp. RCC2491,1764641,Ankylochrysis sp RCC2491,MALI FT191.5 PG1,RCC,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/17/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,108001,Unchanged,associated NCBI taxID,NA,NA,NA,NA
36,Y,605,Aureococcus_anophagefferens,44056,Aureococcus anophagefferens,44056,Aureococcus anophagefferens RCC96,CCMP1784,RCC,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/30/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,51884,Unchanged,associated NCBI taxID,NA,NA,NA,NA
37,Y,606,Bigelowiella_natans,227086,Bigelowiella natans,227086,Bigelowiella natans RCC435,BL_33-3,RCC,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/44/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,136867,Unchanged,associated NCBI taxID,NA,NA,NA,NA
38,Y,607,Bigelowiella_sp_RCC560,1764863,Bigelowiella sp. RCC560,1764863,Bigelowiella sp RCC560,BL_34,RCC,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/45/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,122937,Unchanged,associated NCBI taxID,NA,NA,NA,NA
39,Y,608,Pelagomonas_calceolata,35677,Pelagomonas calceolata,35677,Pelagomonas calceolata RCC2362,BOUM81-4,RCC,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/289/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,81704,Unchanged,associated NCBI taxID,NA,NA,NA,NA
40,N,NA,Chloroparvula_sp_RCC696,2565275,Chloroparvula sp. RCC696,2565275,Chloroparvula sp_b2 RCC696,IndianOcean_1-1,RCC,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/68/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,43461,Unchanged,associated NCBI taxID,CONTAM,hclust with diatoms,NA,NA
41,N,NA,Chloroparvula_sp_RCC999,464255,Chloroparvula cf. pacifica RCC999,464255,Chloroparvula sp_b3 RCC999,biosope_46 C4S,RCC,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/69/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,33696,Unchanged,associated NCBI taxID,CONTAM,hclust with diatoms,NA,NA
42,N,NA,Chloropicon_maureeniae,1461542,Chloropicon maureeniae,1461542,Chloropicon maureeniae CCMP2152,LRF_5,RCC,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/73/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,52919,Unchanged,associated NCBI taxID,CONTAM,hclust with other CONTAM flags & three FLAG chloros,NA,NA
43,Y,609,Chloropicon_sp_CCMP2113,2864388,Chloropicon sp.,1461542,Chloropicon sp CCMP2113,CCMP2113,RCC,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/79/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,25923,Updated,associated NCBI taxID,NA,NA,NA,NA
44,Y,610,Chroodactylon_ramnosum,139907,Chroodactylon ornatum,139907,Chroodactylon ramnosum RCC654,SAG 103.79,RCC,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/83/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,83556,Unchanged,associated NCBI taxID,NA,NA,NA,NA
45,Y,611,Emiliania_huxleyi,2903,Emiliania huxleyi,2903,Emiliania huxleyi RCC1253,AC675 syn. OS 2,RCC,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/136/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,190227,Unchanged,associated NCBI taxID,NA,NA,NA,NA
46,Y,612,Emiliania_huxleyi,2903,Emiliania huxleyi,2903,Emiliania huxleyi RCC1857,BOUM77,RCC,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/137/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,115025,Unchanged,associated NCBI taxID,NA,NA,NA,NA
47,Y,613,Emiliania_huxleyi,2903,Emiliania huxleyi,2903,Emiliania huxleyi RCC3782,CHC2,RCC,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/138/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,154229,Unchanged,associated NCBI taxID,NA,NA,NA,NA
48,Y,614,Pelagomonas_calceolata,35677,Pelagomonas calceolata,35677,Pelagomonas calceolata RCC706,IndianOcean_17-1,RCC,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/290/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,49601,Unchanged,associated NCBI taxID,NA,NA,NA,NA
49,Y,615,Gephyrocapsa_muellerae,1663125,Gephyrocapsa muellerae,1663125,Gephyrocapsa muellerae RCC3370,CHC184,RCC,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/165/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,120869,Unchanged,associated NCBI taxID,NA,NA,NA,NA
50,Y,616,Pelagomonas_calceolata,35677,Pelagomonas calceolata,35677,Pelagomonas calceolata RCC981,Biosope_111 C1E,RCC,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.fasta,"Niang et al., 2020",https://metdb.sb-roscoff.fr/metdb/assembly/291/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,31553,Unchanged,associated NCBI taxID,NA,NA,NA,NA
51,Y,617,Glossomastix_chrysoplasta,172669,Glossomastix chrysoplasta,172669,Glossomastix chrysoplasta RCC624,CCMP1537,RCC,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/169/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,40839,Unchanged,associated NCBI taxID,NA,NA,NA,NA
52,Y,618,Guinardia_flaccida,216801,Guinardia flaccida,216801,Guinardia flaccida RCC3093,RA120910 P1E1,RCC,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/175/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,44890,Unchanged,associated NCBI taxID,NA,NA,NA,NA
53,Y,619,Naviculales_sp_RCC2677,1764899,Naviculales sp. RCC2677,1764899,Haslea sp RCC2677,Aka_5A P52.F2,RCC,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/181/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,56164,Unchanged,associated NCBI taxID,NA,NA,NA,NA
54,Y,620,Mesopedinella_arctica,296676,Mesopedinella arctica,296676,Mesopedinella arctica RCC382,PROSOPE_2,RCC,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/227/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,150960,Unchanged,associated NCBI taxID,NA,NA,NA,NA
55,Y,621,Micromonas_commoda,1606511,Chloropicon mariensis,1606511,Micromonas commoda RCC996,biosope_46 B4S,RCC,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/231/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,42441,Unchanged,associated NCBI taxID,NA,NA,NA,NA
56,Y,622,Minidiscus_sp_RCC1721,2604711,Minidiscus sp. RCC1721,2315412,Minidiscus sp RCC1721,RA080513-10,RCC,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/241/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,51623,Updated,associated NCBI taxID,NA,NA,NA,NA
57,Y,623,Navicula_sp_RCC3092,1764896,Navicula sp. RCC3092,1764896,Navicula sp RCC3092,RA120910 P2A1,RCC,RCC-METDB_00269-navicula-sp-ra120910p2a1-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/246/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,72551,Unchanged,associated NCBI taxID,NA,NA,NA,NA
58,Y,624,Ochromonas_triangulata,1964564,Ochromonas triangulata,1964564,Ochromonas triangulata RCC21,CHR25,RCC,RCC-METDB_00278-ochromonas-triangulata-chr25-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/255/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,44109,Unchanged,associated NCBI taxID,NA,NA,NA,NA
59,Y,625,Phaeocystis_sp_RCC908,464236,Phaeocystis sp. RCC908,464236,Phaeocystis sp RCC908,Biosope_226_FL2-3,RCC,RCC-METDB_00485-phaeocystis-sp-biosope226fl2-3-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/318/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,78817,Unchanged,associated NCBI taxID,NA,NA,NA,NA
60,Y,626,Partenskyella_glossopodia,552666,Partenskyella glossopodia,552666,Partenskyella glossopodia RCC365,PROSOPE_99,RCC,RCC-METDB_00299-partenskyella-glossopodia-prosope_99-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/277/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,63741,Unchanged,associated NCBI taxID,NA,NA,NA,NA
61,Y,627,Pelagomonas_calceolata,35677,Pelagomonas calceolata,35677,Pelagomonas calceolata RCC100,CCMP1214,RCC,RCC-METDB_00309-pelagomonas-calceolata-ccmp1214-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/288/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,32250,Unchanged,associated NCBI taxID,NA,NA,NA,NA
62,Y,628,Pelagophyceae_sp_RCC2696,1764647,Pelagophyceae sp. RCC2696,35675,Pelagophyceae_Xxx sp RCC2696,Aka P71.E10,RCC,RCC-METDB_00316-pelagophyceae_xxx-sp-akap71.e10-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/295/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,46597,Updated,associated NCBI taxID,NA,NA,NA,NA
63,Y,629,Phaeocystis_antarctica,33657,Phaeocystis antarctica,33657,Phaeocystis antarctica RCC4023,CCMP1374,RCC,RCC-METDB_00325-phaeocystis-antarctica-ccmp1374-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/304/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,103290,Unchanged,associated NCBI taxID,NA,NA,NA,NA
64,Y,630,Phaeocystis_antarctica,33657,Phaeocystis antarctica,33657,Phaeocystis antarctica RCC4024,CCMP1871,RCC,RCC-METDB_00326-phaeocystis-antarctica-ccmp1871-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/306/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,162178,Unchanged,associated NCBI taxID,NA,NA,NA,NA
65,Y,631,Phaeocystis_cordata,118079,Phaeocystis cordata,118079,Phaeocystis cordata RCC1383,CCMP2495,RCC,RCC-METDB_00327-phaeocystis-cordata-ccmp2495-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/307/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,80926,Unchanged,associated NCBI taxID,NA,NA,NA,NA
66,Y,632,Phaeocystis_globosa,33658,Phaeocystis globosa,33658,Phaeocystis globosa RCC739,RIKZ-Graves,RCC,RCC-METDB_00329-phaeocystis-globosa-rikz-graves-paired.fasta,"Niang et al., 2020",http://metdb.sb-roscoff.fr/metdb/assembly/310/,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,121626,Unchanged,associated NCBI taxID,NA,NA,NA,NA
