ref_id,marferret_name,tax_id,lineage,candidate_id,data_type,data_source,pub_year,source_filename,seq_type,n_seqs_raw,aa_fasta,source_name,alias,source_reference,source_link,ref_link,ref_doi
11,Crypthecodinium_cohnii,2866,dinoflagellate,235,TSA,MMETSP,2014,MMETSP0326.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,22967,235_Crypthecodinium_cohnii.faa,"Crypthecodinium cohnii, Strain Seligo",MMETSP0326,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
12,Cryptomonas_paramecium,2898,cryptophyte,236,TSA,MMETSP,2014,MMETSP0038.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,92586,236_Cryptomonas_paramecium.faa,Cryptomonas paramecium CCAP977/2a,MMETSP0038,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
13,Emiliania_huxleyi,2903,haptophyte,237,TSA,MMETSP,2014,MMETSP0994.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,43677,237_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 379",MMETSP0994,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
14,Emiliania_huxleyi,2903,haptophyte,238,TSA,MMETSP,2014,MMETSP0995.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,42025,238_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 379",MMETSP0995,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
15,Emiliania_huxleyi,2903,haptophyte,239,TSA,MMETSP,2014,MMETSP0996.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,42500,239_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 379",MMETSP0996,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
16,Emiliania_huxleyi,2903,haptophyte,240,TSA,MMETSP,2014,MMETSP0997.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,44405,240_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 379",MMETSP0997,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
17,Emiliania_huxleyi,2903,haptophyte,241,TSA,MMETSP,2014,MMETSP1006.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,31795,241_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 374",MMETSP1006,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
18,Emiliania_huxleyi,2903,haptophyte,242,TSA,MMETSP,2014,MMETSP1007.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,31404,242_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 374",MMETSP1007,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
19,Emiliania_huxleyi,2903,haptophyte,243,TSA,MMETSP,2014,MMETSP1008.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,37936,243_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 374",MMETSP1008,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
20,Emiliania_huxleyi,2903,haptophyte,244,TSA,MMETSP,2014,MMETSP1009.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,28709,244_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain 374",MMETSP1009,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
21,Emiliania_huxleyi,2903,haptophyte,246,TSA,MMETSP,2014,MMETSP1151.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,56445,246_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain PLY M219",MMETSP1151,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
22,Emiliania_huxleyi,2903,haptophyte,247,TSA,MMETSP,2014,MMETSP1152.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,63604,247_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain PLY M219",MMETSP1152,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
23,Emiliania_huxleyi,2903,haptophyte,248,TSA,MMETSP,2014,MMETSP1153.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,62259,248_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain PLY M219",MMETSP1153,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
24,Emiliania_huxleyi,2903,haptophyte,249,TSA,MMETSP,2014,MMETSP1154.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,61623,249_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain CCMP370",MMETSP1154,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
25,Emiliania_huxleyi,2903,haptophyte,250,TSA,MMETSP,2014,MMETSP1155.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,63067,250_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain CCMP370",MMETSP1155,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
26,Emiliania_huxleyi,2903,haptophyte,251,TSA,MMETSP,2014,MMETSP1156.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,60987,251_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain CCMP370",MMETSP1156,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
27,Emiliania_huxleyi,2903,haptophyte,252,TSA,MMETSP,2014,MMETSP1157.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,63211,252_Emiliania_huxleyi.faa,"Emiliania huxleyi, Strain CCMP370",MMETSP1157,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
28,Tripos_fusus,2916,dinoflagellate,253,TSA,MMETSP,2014,MMETSP1074.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,118358,253_Tripos_fusus.faa,"Ceratium fusus, Strain PA161109",MMETSP1074,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
29,Tripos_fusus,2916,dinoflagellate,254,TSA,MMETSP,2014,MMETSP1075.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,121055,254_Tripos_fusus.faa,"Ceratium fusus, Strain PA161109",MMETSP1075,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
30,Alexandrium_catenella,2925,dinoflagellate,256,TSA,MMETSP,2014,MMETSP0790.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,112580,256_Alexandrium_catenella.faa,"Alexandrium catenella, Strain OF101",MMETSP0790,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
31,Alexandrium_tamarense,2926,dinoflagellate,257,TSA,MMETSP,2014,MMETSP0378.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,24216,257_Alexandrium_tamarense.faa,Alexandrium tamarense CCMP1771,MMETSP0378,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
32,Alexandrium_tamarense,2926,dinoflagellate,258,TSA,MMETSP,2014,MMETSP0382.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,132877,258_Alexandrium_tamarense.faa,Alexandrium tamarense CCMP1771,MMETSP0382,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
33,Alexandrium_fundyense,2932,dinoflagellate,260,TSA,MMETSP,2014,MMETSP0196.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,4092,260_Alexandrium_fundyense.faa,"Alexandrium fundyense, Strain CCMP1719",MMETSP0196,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
34,Alexandrium_fundyense,2932,dinoflagellate,261,TSA,MMETSP,2014,MMETSP0347.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,23525,261_Alexandrium_fundyense.faa,"Alexandrium fundyense, Strain CCMP1719",MMETSP0347,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
35,Amphidinium_carterae,2961,dinoflagellate,263,TSA,MMETSP,2014,MMETSP0258.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,53453,263_Amphidinium_carterae.faa,"Amphidinium carterae, Strain CCMP1314",MMETSP0258,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
36,Amphidinium_carterae,2961,dinoflagellate,264,TSA,MMETSP,2014,MMETSP0259.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,54435,264_Amphidinium_carterae.faa,"Amphidinium carterae, Strain CCMP1314",MMETSP0259,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
37,Amphidinium_carterae,2961,dinoflagellate,265,TSA,MMETSP,2014,MMETSP0398.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,7843,265_Amphidinium_carterae.faa,"Amphidinium carterae, Strain CCMP1314",MMETSP0398,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
38,Noctiluca_scintillans,2966,dinoflagellate,266,TSA,MMETSP,2014,MMETSP0253.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,67220,266_Noctiluca_scintillans.faa,Noctiluca scintillans,MMETSP0253,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
39,Oxyrrhis_marina,2969,dinoflagellate,268,TSA,MMETSP,2014,MMETSP0451.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,3291,268_Oxyrrhis_marina.faa,"Oxyrrhis marina, Strain CCMP1795",MMETSP0451,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
40,Oxyrrhis_marina,2969,dinoflagellate,269,TSA,MMETSP,2014,MMETSP0468.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,47293,269_Oxyrrhis_marina.faa,Oxyrrhis marina,MMETSP0468,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
41,Oxyrrhis_marina,2969,dinoflagellate,272,TSA,MMETSP,2014,MMETSP0471.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,49861,272_Oxyrrhis_marina.faa,Oxyrrhis marina,MMETSP0471,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
42,Oxyrrhis_marina,2969,dinoflagellate,273,TSA,MMETSP,2014,MMETSP1424.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,39050,273_Oxyrrhis_marina.faa,"Oxyrrhis marina, Strain LB1974",MMETSP1424,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
43,Oxyrrhis_marina,2969,dinoflagellate,274,TSA,MMETSP,2014,MMETSP1425.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,43772,274_Oxyrrhis_marina.faa,"Oxyrrhis marina, Strain LB1974",MMETSP1425,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
44,Oxyrrhis_marina,2969,dinoflagellate,275,TSA,MMETSP,2014,MMETSP1426.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,90623,275_Oxyrrhis_marina.faa,"Oxyrrhis marina, Strain LB1974",MMETSP1426,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
45,Ochromonas_sp_CCMP1899,420557,ochrophyte,277,TSA,MMETSP,2014,MMETSP1177.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,24992,277_Ochromonas_sp_CCMP1899.faa,Ochromonas sp CCMP1899,MMETSP1177,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
46,Ochromonas_sp_BG-1,1616673,ochrophyte,278,TSA,MMETSP,2014,MMETSP1105.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,26334,278_Ochromonas_sp_BG-1.faa,"Ochromonas sp., Strain BG-1",MMETSP1105,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
47,Mallomonas_sp,2003107,ochrophyte,279,TSA,MMETSP,2014,MMETSP1167.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,31110,279_Mallomonas_sp.faa,"Mallomonas Sp, Strain CCMP3275",MMETSP1167,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
48,Hanusia_phi,3032,cryptophyte,281,TSA,MMETSP,2014,MMETSP1048.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,36355,281_Hanusia_phi.faa,"Hanusia phi, Strain CCMP325",MMETSP1048,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
49,Dunaliella_tertiolecta,3047,chlorophyte,284,TSA,MMETSP,2014,MMETSP1128.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,26282,284_Dunaliella_tertiolecta.faa,"Dunaliella tertiolecta, Strain CCMP1320",MMETSP1128,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
50,Chlamydomonas_sp_CCMP681,413974,chlorophyte,285,TSA,MMETSP,2014,MMETSP1180.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,14899,285_Chlamydomonas_sp_CCMP681.faa,Chlamydomonas sp cf CCMP681,MMETSP1180,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
51,Tetraselmis_striata,3165,chlorophyte,286,TSA,MMETSP,2014,MMETSP0058.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,35316,286_Tetraselmis_striata.faa,Tetraselmis sp. CCMP879,MMETSP0058,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
52,Tetraselmis_striata,3165,chlorophyte,287,TSA,MMETSP,2014,MMETSP0817.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,40683,287_Tetraselmis_striata.faa,"Tetraselmis striata, Strain LANL1001",MMETSP0817,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
53,Tetraselmis_striata,3165,chlorophyte,288,TSA,MMETSP,2014,MMETSP0818.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,41735,288_Tetraselmis_striata.faa,"Tetraselmis striata, Strain LANL1001",MMETSP0818,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
54,Tetraselmis_striata,3165,chlorophyte,289,TSA,MMETSP,2014,MMETSP0819.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,41091,289_Tetraselmis_striata.faa,"Tetraselmis striata, Strain LANL1001",MMETSP0819,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
55,Tetraselmis_striata,3165,chlorophyte,290,TSA,MMETSP,2014,MMETSP0820.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,41266,290_Tetraselmis_striata.faa,"Tetraselmis striata, Strain LANL1001",MMETSP0820,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
56,Schizochytrium_aggregatum_ATCC28209,876976,stramenopile,291,TSA,MMETSP,2014,MMETSP0962.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,8820,291_Schizochytrium_aggregatum_ATCC28209.faa,"Schizochytrium aggregatum, Strain ATCC28209",MMETSP0962,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
57,Schizochytrium_aggregatum_ATCC28209,876976,stramenopile,292,TSA,MMETSP,2014,MMETSP0963.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,18957,292_Schizochytrium_aggregatum_ATCC28209.faa,"Schizochytrium aggregatum, Strain ATCC28209",MMETSP0963,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
58,Schizochytrium_aggregatum_ATCC28209,876976,stramenopile,293,TSA,MMETSP,2014,MMETSP0964.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,30310,293_Schizochytrium_aggregatum_ATCC28209.faa,"Schizochytrium aggregatum, Strain ATCC28209",MMETSP0964,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
59,Schizochytrium_aggregatum_ATCC28209,876976,stramenopile,294,TSA,MMETSP,2014,MMETSP0965.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,26655,294_Schizochytrium_aggregatum_ATCC28209.faa,"Schizochytrium aggregatum, Strain ATCC28209",MMETSP0965,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
60,Chrysotila_carterae,13221,haptophyte,297,TSA,MMETSP,2014,MMETSP1136.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,41988,297_Chrysotila_carterae.faa,"Pleurochrysis carterae, Strain CCMP645",MMETSP1136,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
61,Chrysotila_carterae,13221,haptophyte,298,TSA,MMETSP,2014,MMETSP1137.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,23492,298_Chrysotila_carterae.faa,"Pleurochrysis carterae, Strain CCMP645",MMETSP1137,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
62,Chrysotila_carterae,13221,haptophyte,299,TSA,MMETSP,2014,MMETSP1138.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,31152,299_Chrysotila_carterae.faa,"Pleurochrysis carterae, Strain CCMP645",MMETSP1138,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
63,Ammonia_sp,43993,rhizaria,300,TSA,MMETSP,2014,MMETSP1384.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,62143,300_Ammonia_sp.faa,Ammonia sp.,MMETSP1384,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
64,Chlorarachnion_reptans,29199,cercozoan,301,TSA,MMETSP,2014,MMETSP0109.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,36097,301_Chlorarachnion_reptans.faa,Chlorarachnion reptans CCCM449,MMETSP0109,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
65,Compsopogon_caeruleus,31354,rhodophyte,304,TSA,MMETSP,2014,MMETSP0312.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,17896,304_Compsopogon_caeruleus.faa,"Compsopogon coeruleus, Strain SAG 36.94",MMETSP0312,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
66,Asterionellopsis_glacialis,33640,diatom,305,TSA,MMETSP,2014,MMETSP1394.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,25013,305_Asterionellopsis_glacialis.faa,Asterionellopsis glacialis,MMETSP1394,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
67,Asterionellopsis_glacialis,33640,diatom,306,TSA,MMETSP,2014,MMETSP0705.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,17235,306_Asterionellopsis_glacialis.faa,Asterionellopsis glacialis CCMP134,MMETSP0705,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
68,Asterionellopsis_glacialis,33640,diatom,307,TSA,MMETSP,2014,MMETSP0706.trinity_out_2.2.0.Trinity.fasta.transdecoder.pep,aa,24756,307_Asterionellopsis_glacialis.faa,"Asterionellopsis glacialis, Strain CCMP134",MMETSP0706,"Keeling et al., 2014",https://zenodo.org/record/3247846,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048
