entry_id,accepted,marferret_name,tax_id,pr2_accession,pr2_rank,pr2_taxonomy,data_type,data_source,source_link,pub_year,ref_link,ref_doi,source_filename,seq_type,n_seqs_raw,source_name,original_taxID,alias
11,Y,Stramenopiles_sp_TOSAG41-2,1735746,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m3a.faa,aa,3289,Stramenopiles sp. TOSAG41-2,NA,Stramenopiles sp. TOSAG41-2
12,Y,Stramenopiles_sp_TOSAG23-6,1735747,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m3f.faa,aa,2694,Stramenopiles sp. TOSAG23-6,NA,Stramenopiles sp. TOSAG23-6
13,N,Stramenopiles_sp_TOSAG23-1,1735742,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m4a1.faa,aa,8018,Stramenopiles sp. TOSAG23-1,NA,Stramenopiles sp. TOSAG23-1
14,Y,Stramenopiles_sp_TOSAG23-2,1735743,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m4a2.faa,aa,8537,Stramenopiles sp. TOSAG23-2,NA,Stramenopiles sp. TOSAG23-2
15,Y,Stramenopiles_sp_TOSAG41-1,1735744,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m4c.faa,aa,5478,Stramenopiles sp. TOSAG41-1,NA,Stramenopiles sp. TOSAG41-1
16,Y,Stramenopiles_sp_TOSAG23-3,1735745,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,m4e.faa,aa,4652,Stramenopiles sp. TOSAG23-3,NA,Stramenopiles sp. TOSAG23-3
17,Y,Chrysophyceae_sp_TOSAG23-4,1735748,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,chryh1.faa,aa,3050,Chrysophyceae sp. TOSAG23-4,NA,Chrysophyceae sp. TOSAG23-4
18,Y,Chrysophyceae_sp_TOSAG23-5,1735749,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,chryh2.faa,aa,1637,Chrysophyceae sp. TOSAG23-5,NA,Chrysophyceae sp. TOSAG23-5
19,Y,Calanus_finmarchicus,6837,AF367719.1.1749_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calanus;Calanus_finmarchicus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA236528,2014,https://pubmed.ncbi.nlm.nih.gov/25945801,https://doi.org/10.1093/nar/gky989,Calanus_finmarchicus.PRJNA236528.fa.fasta,nt,206012,Calanus finmarchicus,6837,PRJNA236528
20,Y,Calanus_glacialis,113644,MF993123.569.2373_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calanus;Calanus_glacialis,TSA,NCBI,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237014,2015,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,Calanus_glacialis.PRJNA237014.fasta,nt,36880,Calanus glacialis,113644,PRJNA237014
21,Y,Neocalanus_flemingeri,119369,AF514342.1.1802_U,genus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Neocalanus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GFUD00000000/,2018,https://pubmed.ncbi.nlm.nih.gov/28919018,https://doi.org/10.1093/nar/gky989,GFUD01.1.fsa_nt.fasta,nt,140535,Neocalanus flemingeri,119369,GFUD00000000
22,Y,Acartia_tonsa,136180,FJ422281.1.1673_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Acartia;Acartia_tonsa,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GFWY00000000/,2017,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,GFWY01.1.fsa_nt,nt,60662,Acartia tonsa,136180,GFWY00000000
23,Y,Eurytemora_affinis,88015,JX995300.1.1753_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Eurytemora;Eurytemora_affinis,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GEAN00000000/,2016,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,GEAN01.1.fsa_nt,nt,107445,Eurytemora affinis,88015,GEAN00000000
24,Y,Labidocera_madurae,1501138,JQ280463.1.906_U,genus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Metazoa_X;Metazoa_XX;Metazoa_XXX;Labidocera,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GFWO00000000/,2017,https://pubmed.ncbi.nlm.nih.gov/29065152,https://doi.org/10.1093/nar/gky989,GFWO01.1.fsa_nt,nt,210768,Labidocera madurae,1501138,GFWO00000000
25,Y,Tigriopus_californicus,6832,AF363306.1.1740_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Tigriopus;Tigriopus_californicus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GBSZ00000000/,2015,https://pubmed.ncbi.nlm.nih.gov/25415967/,https://doi.org/10.1093/nar/gky989,GBSZ01.1.fsa_nt,nt,12067,Tigriopus californicus,6832,GBSZ00000000
26,Y,Tigriopus_kingsejongensis,1133412,AY588146.2406.3572_U,genus,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Tigriopus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GDFW01000000/,2015,https://pubmed.ncbi.nlm.nih.gov/27157881/,https://doi.org/10.1093/nar/gky989,GDFW01.1.fsa_nt,nt,38250,Tigriopus kingsejongensis,1133412,GDFW01000000
27,Y,Tigriopus_japonicus,158387,EU054307.1418.3234_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Tigriopus;Tigriopus_japonicus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GCHA00000000/,2015,https://pubmed.ncbi.nlm.nih.gov/26024611,https://doi.org/10.1093/nar/gky989,GCHA01.1.fsa_nt,nt,54758,Tigriopus japonicus,158387,GCHA00000000
28,Y,Paracyclopina_nana,565004,JQ315743.1.1575_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Paracyclopina;Paracyclopina_nana,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GCJT01000000/,2015,https://pubmed.ncbi.nlm.nih.gov/26001055,https://doi.org/10.1093/nar/gky989,GCJT01.1.fsa_nt,nt,60687,Paracyclopina nana,565004,GCJT01000000
29,Y,Eucyclops_serrulatus,84317,L81940.1.1801_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Eucyclops;Eucyclops_serrulatus,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GARW01000000/,2014,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,GARW01.1.fsa_nt,nt,51528,Eucyclops serrulatus,84317,GARW01000000
30,Y,Lepeophtheirus_salmonis,72036,DQ123829.1.1766_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Lepeophtheirus;Lepeophtheirus_salmonis,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/HACA00000000/,2015,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,HACA01P.1.fsa_aa,aa,33918,Lepeophtheirus salmonis,72036,HACA00000000
31,N,Caligus_rogercresseyi,217165,AY174155.1.752_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Caligus;Caligus_rogercresseyi,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GAZX00000000/,2014,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,GAZX01.1.fsa_nt,nt,44088,Caligus rogercresseyi,217165,GAZX00000000
32,Y,Pleuromamma_xiphias,503034,GU969186.1.1721_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Pleuromamma;Pleuromamma_xiphias,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GFCI00000000/,2018,https://pubmed.ncbi.nlm.nih.gov/30160998/,https://doi.org/10.1093/nar/gky989,GFCI01.1.fsa_nt,nt,554991,Pleuromamma xiphias,503034,GFCI00000000
33,Y,Nitzschia_sp_Nitz4,2041349,GQ243439.1.1357_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia,TSA,NCBI,https://www.ncbi.nlm.nih.gov/nuccore/GIQR00000000/,2020,https://pubmed.ncbi.nlm.nih.gov/34379807/,https://doi.org/10.1093/nar/gky989,GIQR01.1.fsa_nt,nt,24322,Nitzschia sp. strain Nitz4,2041349,GIQR00000000
34,Y,Phaeocystis_globosa,33658,EU077556.1.1648_U,species,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_globosa,TSA,Zenodo,https://zenodo.org/record/1476491,2018,https://pubmed.ncbi.nlm.nih.gov/30860641/,10.5281/zenodo.1476491,phaeocystisglobosa_euk_seqs.fasta,nt,69528,Phaeocystis globosa CCMP1528,33658,NA
35,Y,Ankylochrysis_sp_RCC2491,1764641,KT861206.1.682_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Sarcinochrysidales;Sarcinochrysidaceae;Ankylochrysis;Ankylochrysis_sp1,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/17/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00017-ankylochrysis-sp-malift191.5pg1-paired.fasta,nt,108001,Ankylochrysis sp RCC2491,1764641,MALI FT191.5 PG1
36,Y,Aureococcus_anophagefferens,44056,AF118443.1.1814_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Aureococcus;Aureococcus_anophagefferens,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/30/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00030-aureococcus-anophagefferens-ccmp1784-paired.fasta,nt,51884,Aureococcus anophagefferens RCC96,44056,CCMP1784
37,Y,Bigelowiella_natans,227086,KT861354.1.928_U,species,Eukaryota;TSAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida_X;Bigelowiella;Bigelowiella_natans,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/44/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00044-bigelowiella-natans-bl_33-3-paired.fasta,nt,136867,Bigelowiella natans RCC435,227086,BL_33-3
38,Y,Bigelowiella_sp_RCC560,1764863,KT861349.1.691_U,strain,Eukaryota;TSAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachnida;Chlorarachnida_X;Bigelowiella;Bigelowiella_sp.,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/45/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00045-bigelowiella-sp-bl_34-paired.fasta,nt,122937,Bigelowiella sp RCC560,1764863,BL_34
39,Y,Pelagomonas_calceolata,35677,KT861095.1.678_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/289/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00310-pelagomonas-calceolata-boum81-4-paired.fasta,nt,81704,Pelagomonas calceolata RCC2362,35677,BOUM81-4
40,N,Chloroparvula_sp_RCC696,2565275,JX188278.1.1748_U,genus,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/68/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00069-chloroparvula-sp_b2-indianocean_1-1-paired.fasta,nt,43461,Chloroparvula sp_b2 RCC696,2565275,IndianOcean_1-1
41,N,Chloroparvula_sp_RCC999,464255,KF031587.1.1745_U,genus,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/69/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00070-chloroparvula-sp_b3-biosope_46c4s-paired.fasta,nt,33696,Chloroparvula sp_b3 RCC999,464255,biosope_46 C4S
42,N,Chloropicon_maureeniae,1461542,KU843595.1.1695_U,species,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon_maureeniae,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/73/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00074-chloropicon-maureeniae-lrf_5-paired.fasta,nt,52919,Chloropicon maureeniae CCMP2152,1461542,LRF_5
43,Y,Chloropicon_sp_CCMP2113,2864388,EU143500.1.890_U,genus,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/79/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00082-chloropicon-sp-ccmp2113-paired.fasta,nt,25923,Chloropicon sp CCMP2113,1461542,CCMP2113
44,N,Chroodactylon_ramnosum,139907,AF342751.1.1772_U,species,Eukaryota;Archaeplastida;Rhodophyta;Rhodophyta_X;Stylonematophyceae;Stylonematales;Stylonemataceae;Chroodactylon;Chroodactylon_ornatum,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/83/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00086-chroodactylon-ramnosum-sag103.79-paired.fasta,nt,83556,Chroodactylon ramnosum RCC654,139907,SAG 103.79
45,Y,Emiliania_huxleyi,2903,AF184167.1.1721_U,species,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania_huxleyi,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/136/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00146-emiliania-huxleyi-ac675syn.os2-paired.fasta,nt,190227,Emiliania huxleyi RCC1253,2903,AC675 syn. OS 2
46,Y,Emiliania_huxleyi,2903,AF184167.1.1721_U,species,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania_huxleyi,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/137/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00150-emiliania-huxleyi-boum77-paired.fasta,nt,115025,Emiliania huxleyi RCC1857,2903,BOUM77
47,Y,Emiliania_huxleyi,2903,AF184167.1.1721_U,species,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania_huxleyi,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/138/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00151-emiliania-huxleyi-chc2-paired.fasta,nt,154229,Emiliania huxleyi RCC3782,2903,CHC2
48,Y,Pelagomonas_calceolata,35677,EF455763.8.1872_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/290/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00311-pelagomonas-calceolata-indianocean_17-1-paired.fasta,nt,49601,Pelagomonas calceolata RCC706,35677,IndianOcean_17-1
49,Y,Gephyrocapsa_muellerae,1663125,KP282838.1.1755_U,strain,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Gephyrocapsa;Gephyrocapsa_muellerae,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/165/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00180-gephyrocapsa-mullerae-chc184-paired.fasta,nt,120869,Gephyrocapsa muellerae RCC3370,1663125,CHC184
50,Y,Pelagomonas_calceolata,35677,EU106814.1.899_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata,TSA,METdb,https://metdb.sb-roscoff.fr/metdb/assembly/291/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00312-pelagomonas-calceolata-biosope_111c1e-paired.fasta,nt,31553,Pelagomonas calceolata RCC981,35677,Biosope_111 C1E
51,Y,Glossomastix_chrysoplasta,172669,AF438325.1.1776_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Pinguiophyceae;Pinguiochrysidales;Pinguiochrysidaceae;Glossomastix;Glossomastix_chrysoplasta,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/169/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00185-glossomastix-chrysoplasta-ccmp1537-paired.fasta,nt,40839,Glossomastix chrysoplasta RCC624,172669,CCMP1537
52,Y,Guinardia_flaccida,216801,KT861020.1.1647_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;Guinardia_flaccida,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/175/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00191-guinardia-flaccida-ra120910p1e1-paired.fasta,nt,44890,Guinardia flaccida RCC3093,216801,RA120910 P1E1
53,Y,Naviculales_sp_RCC2677,1764899,KT861210.1.805_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Naviculales;Naviculaceae;Naviculaceae_X;Naviculaceae_X_sp.,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/181/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00198-haslea-sp-aka_5ap52.f2-paired.fasta,nt,56164,Haslea sp RCC2677,1764899,Aka_5A P52.F2
54,Y,Mesopedinella_arctica,296676,KT861163.1.550_U,strain,Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Mesopedinella;Mesopedinella_arctica,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/227/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00246-mesopedinella-arctica-prosope_2-paired.fasta,nt,150960,Mesopedinella arctica RCC382,296676,PROSOPE_2
55,Y,Chloropicon_sp_RCC996,1461542,NA,NA,NA,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/231/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00250-micromonas-commoda-biosope_46b4s-paired.fasta,nt,42441,Micromonas commoda RCC996,1606511,biosope_46 B4S
56,Y,Minidiscus_sp_RCC1721,2604711,AB275031.1.1667_U,genus,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus,TSA,METdb,http://metdb.sb-roscoff.fr/metdb/assembly/241/,2020,https://f1000research.com/posters/9-564,https://doi.org/10.7490/f1000research.1118000.1,RCC-METDB_00262-minidiscus-sp-ra080513-10-paired.fasta,nt,51623,Minidiscus sp RCC1721,2315412,RA080513-10
